Sample,Value
0.1,-0.009384143345392
0.2,-0.0152578530188863
0.3,-0.0103058085400982
0.4,-0.0117256226569169
0.5,-0.0102404018658055
0.6,-0.0075235672114035
0.7,-0.0081143643854753
0.8,-0.0073021518402165
0.9,-0.0047938247615319
1.0,-0.003542096521199
1.1,-0.0008673386176077
1.2,-0.0015642487005836
1.3,0.0003880533556492
1.4,0.0042746045511347
1.5,0.0035767146490579
1.6,0.0117278272498939
1.7,0.0084757489148565
1.8,0.0140062315102217
1.9,0.0185429102651922
2.0,0.0257274200750686
2.1,0.0257842895755371
2.2,0.0286521838405584
2.3,0.0320192496960248
2.4,0.0358671418682182
2.5,0.0416551206733456
2.6,0.0481686773936504
2.7,0.0508610478147614
2.8,0.0559618942852675
2.9,0.0569793926796265
3.0,0.0664784551652151
3.1,0.0656512764545131
3.2,0.0667927558874442
3.3,0.0720778288808428
3.4,0.0749074577106201
3.5,0.0820840031873401
3.6,0.0827126791716079
3.7,0.0929622305981758
3.8,0.0935633758617315
3.9,0.093347635500488
4.0,0.1006028324520585
4.1,0.1009839183440757
4.2,0.1068790162116319
4.3,0.1079698826469547
4.4,0.1124159789498863
4.5,0.1140275117777809
4.6,0.1157832748521661
4.7,0.1188672891267449
4.8,0.1262737244814747
4.9,0.1249451422709653
5.0,0.1268216967942293
5.1,0.1338175439359508
5.2,0.132776504887785
5.3,0.1387648767846236
5.4,0.1437070118429385
5.5,0.1437412517713917
5.6,0.1479839659602846
5.7,0.1461235969309166
5.8,0.1518169332986897
5.9,0.1523355188048406
6.0,0.1553656571334088
6.1,0.1558140065890335
6.2,0.1591672137531608
6.3,0.1609225434254201
6.4,0.1640598332417492
6.5,0.1684888177520225
6.6,0.1704294232177384
6.7,0.1735384342165827
6.8,0.1754041168734387
6.9,0.1765882124012854
7.0,0.179094639562885
7.1,0.1805237707988163
7.2,0.1812577540371609
7.3,0.1812364994791408
7.4,0.1853300405841143
7.5,0.186068988359178
7.6,0.1870170169832395
7.7,0.1892217399362642
7.8,0.19414624324984
7.9,0.1945142078143822
8.0,0.1931703091459596
8.1,0.1989481729435702
8.2,0.1996464777690418
8.3,0.2011794986498969
8.4,0.2046754242997886
8.5,0.204774975652263
8.6,0.2078535611969783
8.7,0.2082411847212708
8.8,0.2103446427988946
8.9,0.2071822911569951
9.0,0.2112105834603143
9.1,0.2117631442830581
9.2,0.2158038223978612
9.3,0.2171282485006919
9.4,0.217667090713377
9.5,0.2220768133540488
9.6,0.2199269334899044
9.7,0.2208055288685183
9.8,0.2234163575928915
9.9,0.2271752190251874
10.0,0.2291526714380357
10.1,0.2275960175852533
10.2,0.2298787298894941
10.3,0.2320070456991877
10.4,0.2326601491378225
10.5,0.2336321231692598
10.6,0.2368809500510253
10.7,0.237277923813316
10.8,0.2389476884794431
10.9,0.2385935496658929
11.0,0.2388466475805476
11.1,0.2439914445081291
11.2,0.2469632294137694
11.3,0.2453909625506819
11.4,0.2470343187888936
11.5,0.2493697868888099
11.6,0.2489983386817209
11.7,0.2521569242778552
11.8,0.2529777439840169
11.9,0.2574426721466549
12.0,0.25569424914568
12.1,0.2598740794980727
12.2,0.2598723135741064
12.3,0.2580651047300392
12.4,0.2608931076100075
12.5,0.2610304335062139
12.6,0.2672928867650667
12.7,0.2617201151915899
12.8,0.2662027235721604
12.9,0.2674972896521837
13.0,0.2700104380728708
13.1,0.2684354401068702
13.2,0.2711767464931787
13.3,0.2719322695047426
13.4,0.2717957446213636
13.5,0.2693002554403393
13.6,0.2775444433571452
13.7,0.2753504568628357
13.8,0.276078748960973
13.9,0.2784013439018821
14.0,0.2783868983546055
14.1,0.2790886257624685
14.2,0.2823892738047743
14.3,0.2824059483017948
14.4,0.2796581531134814
14.5,0.2832092374945276
14.6,0.2828492227122567
14.7,0.287834009895923
14.8,0.2844866391542461
14.9,0.2879166933804846
15.0,0.2887196818251716
15.1,0.2899615658459056
15.2,0.2863000293570799
15.3,0.2844424348154721
15.4,0.2898245098998597
15.5,0.2980853747376891
15.6,0.2908330914789472
15.7,0.2922973546009068
15.8,0.2941038385788023
15.9,0.2996774095582603
16.0,0.3018983313062968
16.1,0.2918972772151941
16.2,0.2951035258865331
16.3,0.3039107143305206
16.4,0.3027260467036273
16.5,0.2973696731240994
16.6,0.2989914212088593
16.7,0.3034556769956347
16.8,0.3019667074323546
16.9,0.3016890331622524
17.0,0.3092241608285927
17.1,0.30377368953257
17.2,0.312427467117345
17.3,0.3089331382193562
17.4,0.3039932152526339
17.5,0.3065539399788314
17.6,0.3089523306580951
17.7,0.3161176892716182
17.8,0.3120998699900745
17.9,0.3141670433381951
18.0,0.3190964768129684
18.1,0.3167694164464885
18.2,0.3136197327782644
18.3,0.3146801978206512
18.4,0.3146711163451448
18.5,0.3146928923247545
18.6,0.3211032499663211
18.7,0.3179502234399974
18.8,0.3157019060355981
18.9,0.3262810728569237
19.0,0.3206363400157246
19.1,0.3218512273517656
19.2,0.3222971963265568
19.3,0.3275422687586304
19.4,0.3217573008261921
19.5,0.3228152234536556
19.6,0.3217077540328348
19.7,0.3280598232051407
19.8,0.327846371363687
19.9,0.3278896871165161
20.0,0.3280481054646824
20.1,0.3286521725926351
20.2,0.3314290141146976
20.3,0.3276621978667189
20.4,0.3300416236739248
20.5,0.3303718876795229
20.6,0.3338527624337357
20.7,0.3320116123560687
20.8,0.3325390331060128
20.9,0.333893592395504
21.0,0.3344359897553914
21.1,0.3361874938839417
21.2,0.3340106832775998
21.3,0.3372643250739832
21.4,0.33463831740065
21.5,0.3429950223118628
