Sample,Value
0.1,-0.0105213925235739
0.2,-0.0006545593182739
0.3,0.0056684350979612
0.4,0.0118312456832302
0.5,0.0180773321503338
0.6,0.0214693156190035
0.7,0.0281106023252959
0.8,0.0325593821591918
0.9,0.0366992204063113
1.0,0.0415409342565798
1.1,0.0447154125874947
1.2,0.0485131146835599
1.3,0.0537575536694926
1.4,0.0568060375270366
1.5,0.0614199901552891
1.6,0.0647324511866749
1.7,0.0683645395679422
1.8,0.0730564620439356
1.9,0.0758711669897851
2.0,0.077760440009255
2.1,0.0823627315408991
2.2,0.0841303603562955
2.3,0.0881404209160775
2.4,0.0907461319147086
2.5,0.0938063931673523
2.6,0.0982371180586132
2.7,0.1008325812480479
2.8,0.1046355519222281
2.9,0.1072389810166547
3.0,0.1092623805355152
3.1,0.11309245374883
3.2,0.1157048146208744
3.3,0.1177500640583785
3.4,0.1230558756259268
3.5,0.122366570763206
3.6,0.1262136184286735
3.7,0.1307946359861939
3.8,0.1300130095747864
3.9,0.1343924428031432
4.0,0.1361891180332825
4.1,0.1370628508176676
4.2,0.1409591237097932
4.3,0.1419219665490116
4.4,0.1451623608204921
4.5,0.1484669446145872
4.6,0.1490003426018467
4.7,0.152972119796723
4.8,0.1530447386439798
4.9,0.1548272644498697
5.0,0.1593138422822836
5.1,0.1598958685065137
5.2,0.1634363197554234
5.3,0.1657191603593826
5.4,0.1684905563008234
5.5,0.1698529000397738
5.6,0.171621143395842
5.7,0.1739442054994139
5.8,0.1760380401851866
5.9,0.1755846637413291
6.0,0.1769591598347055
6.1,0.1797278945568967
6.2,0.1808461554398303
6.3,0.1870777705982715
6.4,0.1867657005325167
6.5,0.189165197052936
6.6,0.1922545731587528
6.7,0.1906233753990912
6.8,0.1954811996998599
6.9,0.1971469230161511
7.0,0.1970308584926002
7.1,0.2000569894981149
7.2,0.199835198397165
7.3,0.2030176782474781
7.4,0.2057889995780188
7.5,0.2063938239704726
7.6,0.2095054399118295
7.7,0.209768665668139
7.8,0.2104094376713188
7.9,0.2141763658938013
8.0,0.2158114375368398
8.1,0.2172161607874328
8.2,0.2189142863931873
8.3,0.2189692916025786
8.4,0.220893942765785
8.5,0.2219250071139771
8.6,0.2223157619258263
8.7,0.2252665101883735
8.8,0.2262395662432535
8.9,0.2277118256032518
9.0,0.229520935913998
9.1,0.2303770657256231
9.2,0.2328854692747919
9.3,0.2323876557322009
9.4,0.2349340933534385
9.5,0.237350485722902
9.6,0.2359502810324867
9.7,0.2391126042818474
9.8,0.2403825076138344
9.9,0.2424905807198379
10.0,0.2431860796308055
10.1,0.2453658272898627
10.2,0.2471550039059658
10.3,0.2450428767988076
10.4,0.248353646177924
10.5,0.2506640168300091
10.6,0.2508240819836529
10.7,0.2498504097386927
10.8,0.2531125668064351
10.9,0.2544456600956452
11.0,0.2543123673913177
11.1,0.2571091861626201
11.2,0.2561271464218048
11.3,0.2584910951528506
11.4,0.2587836952038347
11.5,0.2612213462992035
11.6,0.2626067986266029
11.7,0.2620381060821701
11.8,0.264854661936256
11.9,0.2655647159057884
12.0,0.2671280453588273
12.1,0.2687730032375642
12.2,0.2695825144319569
12.3,0.2691837093871196
12.4,0.2711581845361824
12.5,0.2710680709525737
12.6,0.2729440097509842
12.7,0.2751338870263291
12.8,0.2753306009333084
12.9,0.277576379863396
13.0,0.2772896038967974
13.1,0.2779287168275233
13.2,0.2799984710743174
13.3,0.2795992182391735
13.4,0.2816506711649841
13.5,0.2823018144788011
13.6,0.2829337717162635
13.7,0.2850445778836526
13.8,0.2854591014924121
13.9,0.2868897203252851
14.0,0.2879065444837357
14.1,0.2876973279424747
14.2,0.2904861762769161
14.3,0.289869752637459
14.4,0.290523797220271
14.5,0.2926185902522438
14.6,0.2918695485484415
14.7,0.293818546490017
14.8,0.2943577459743777
14.9,0.2957857707365302
15.0,0.2979240341618996
15.1,0.2978063471251076
15.2,0.2986284456420856
15.3,0.3011628977024994
15.4,0.3001039161436365
15.5,0.3008859141042588
15.6,0.3016227305706104
15.7,0.3027499498391878
15.8,0.3052246087195108
15.9,0.3042577432619312
16.0,0.3049801466885685
16.1,0.3067402271458588
16.2,0.3063621684694954
16.3,0.3091706043510523
16.4,0.310654075555304
16.5,0.3095604404745598
16.6,0.3122009493703344
16.7,0.3110416155824902
16.8,0.3128753131409094
16.9,0.3142355202268653
17.0,0.3135583423096773
17.1,0.3146773463454869
17.2,0.3151407995284875
17.3,0.314916805074397
17.4,0.31701509247373
17.5,0.317418315830757
17.6,0.3191865624656245
17.7,0.319469785150564
17.8,0.3190201058391801
17.9,0.3207944959551221
18.0,0.319808978813432
18.1,0.3218799911823637
18.2,0.3237646581445542
18.3,0.3237829013839499
18.4,0.3248722234383935
18.5,0.3263497909302764
18.6,0.3257797032827568
18.7,0.3275981141419636
18.8,0.3269162881364114
18.9,0.3283853913297926
19.0,0.3295891769969895
19.1,0.3293556395714667
19.2,0.3298004030779202
19.3,0.3308435868051851
19.4,0.331034315845735
19.5,0.3327193082660409
19.6,0.3319992839361876
19.7,0.3338510579836372
19.8,0.3353891296277031
19.9,0.3348493684381795
20.0,0.3355937943963791
20.1,0.3371970260540802
20.2,0.336736178423603
20.3,0.3391782806151514
20.4,0.3388699149440703
20.5,0.3374816986969396
20.6,0.3395746612220941
20.7,0.3404608973613762
20.8,0.3422903988893814
20.9,0.3417021036008586
21.0,0.3414153163926623
21.1,0.3420438331807977
21.2,0.3420459840731492
21.3,0.3439918808470636
21.4,0.3444369894561528
21.5,0.3446907728949647
21.6,0.3454704713723742
21.7,0.3470970399958525
21.8,0.3471011067158659
21.9,0.3481107135924711
22.0,0.3484591188078181
22.1,0.3485692864648449
22.2,0.3493651059857986
22.3,0.3491227346742344
22.4,0.3505141250152877
22.5,0.3513577668451408
22.6,0.3511752597674212
22.7,0.3547350423486997
22.8,0.3548675421889096
22.9,0.3545437037989996
23.0,0.3552134079273462
23.1,0.3549106154944875
23.2,0.3570844463259786
23.3,0.3554382398804619
23.4,0.3555425931333679
23.5,0.3571124510193387
23.6,0.3564835271556575
23.7,0.3579878342287951
23.8,0.3590360408684347
23.9,0.3587375730338433
24.0,0.3614772336355506
24.1,0.3612653641813317
24.2,0.3603171340659106
24.3,0.3615556924927895
24.4,0.3614766359572752
24.5,0.3629883835268305
24.6,0.3626328829897631
24.7,0.3639885147454731
24.8,0.3644724233685637
24.9,0.3655762742511776
25.0,0.3655517803087654
