frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correlation_force_0_2,correlation_force_1_3
274,0.3,0.6,0.02,0.02,0.0,0.04,0.01,0.03,0.0096713,0.0264
275,0.26,0.5,0.03,0.02,0.0,0.05,0.015,0.035,0.01450695,0.030800000000000004
276,0.2,0.4,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
277,0.16,0.3,0.03,0.02,0.0,0.05,0.015,0.035,0.01450695,0.030800000000000004
278,0.1,0.2,0.03,0.02,0.0,0.06,0.015,0.04,0.01450695,0.0352
279,0.06,0.1,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
280,0.0,0.0,0.03,0.01,0.0,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
281,0.1,0.04,0.03,0.01,0.0,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
282,0.2,0.1,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
283,0.3,0.14,0.03,0.01,0.0,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
284,0.4,0.2,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
285,0.5,0.24,0.03,0.02,0.0,0.05,0.015,0.035,0.01450695,0.030800000000000004
286,0.6,0.3,0.02,0.02,0.0,0.04,0.01,0.03,0.0096713,0.0264
287,0.7,0.34,0.02,0.02,0.01,0.03,0.015,0.025,0.01450695,0.022000000000000002
288,0.8,0.4,0.02,0.02,0.01,0.05,0.015,0.035,0.01450695,0.030800000000000004
289,0.9,0.44,0.02,0.02,0.02,0.03,0.02,0.025,0.0193426,0.022000000000000002
290,1.0,0.5,0.01,0.02,0.02,0.04,0.015,0.03,0.01450695,0.0264
291,1.1,0.54,0.01,0.03,0.03,0.04,0.02,0.035,0.0193426,0.030800000000000004
292,1.2,0.6,0.02,0.02,0.05,0.02,0.035,0.02,0.033849550000000006,0.0176
293,1.3,0.64,0.04,0.03,0.07,0.03,0.05500000000000001,0.03,0.05319215000000001,0.0264
294,1.4,0.7,0.08,0.03,0.11,0.02,0.095,0.025,0.09187735000000001,0.022000000000000002
295,1.5,0.74,0.12,0.04,0.16,0.01,0.14,0.025,0.13539820000000002,0.022000000000000002
296,1.6,0.8,0.2,0.05,0.26,0.0,0.23,0.025,0.22243990000000002,0.022000000000000002
297,1.7,0.84,0.32,0.07,0.39,0.03,0.355,0.05,0.34333115,0.044000000000000004
298,1.8,0.9,0.49,0.1,0.59,0.05,0.54,0.07500000000000001,0.5222502000000001,0.06600000000000002
299,1.9,0.94,0.74,0.14,0.86,0.09,0.8,0.115,0.7737040000000001,0.1012
300,2.0,1.0,1.13,0.2,1.32,0.16,1.225,0.18,1.1847342500000002,0.15839999999999999
301,1.9,0.96,1.66,0.29,1.9,0.23,1.7799999999999998,0.26,1.7214914,0.2288
302,1.8,0.9,2.06,0.3,1.87,0.18,1.965,0.24,1.90041045,0.2112
303,1.7,0.86,1.18,0.18,1.03,0.08,1.105,0.13,1.06867865,0.1144
304,1.6,0.8,0.65,0.11,0.56,0.03,0.605,0.07,0.58511365,0.06160000000000001
305,1.5,0.76,0.38,0.08,0.35,0.01,0.365,0.045,0.35300245,0.039599999999999996
306,1.4,0.7,0.2,0.05,0.19,0.01,0.195,0.030000000000000002,0.18859035000000002,0.026400000000000003
307,1.3,0.66,0.11,0.04,0.11,0.02,0.11,0.03,0.1063843,0.0264
308,1.2,0.6,0.06,0.04,0.07,0.02,0.065,0.03,0.06286345,0.0264
309,1.1,0.56,0.02,0.03,0.04,0.03,0.03,0.03,0.0290139,0.0264
310,1.0,0.5,0.01,0.03,0.03,0.04,0.02,0.035,0.0193426,0.030800000000000004
311,0.9,0.46,0.0,0.02,0.02,0.03,0.01,0.025,0.0096713,0.022000000000000002
312,0.8,0.4,0.01,0.02,0.01,0.04,0.01,0.03,0.0096713,0.0264
313,0.7,0.36,0.01,0.02,0.01,0.04,0.01,0.03,0.0096713,0.0264
314,0.6,0.3,0.02,0.02,0.0,0.04,0.01,0.03,0.0096713,0.0264
315,0.5,0.26,0.02,0.02,0.0,0.05,0.01,0.035,0.0096713,0.030800000000000004
316,0.4,0.2,0.02,0.02,0.0,0.04,0.01,0.03,0.0096713,0.0264
317,0.3,0.16,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
318,0.2,0.1,0.03,0.02,0.0,0.05,0.015,0.035,0.01450695,0.030800000000000004
319,0.1,0.06,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
320,0.0,0.0,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
321,0.06,0.06,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
322,0.12,0.12,0.04,0.02,0.0,0.04,0.02,0.03,0.0193426,0.0264
323,0.18,0.18,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
324,0.26,0.26,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
325,0.32,0.32,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
326,0.38,0.38,0.02,0.03,0.0,0.04,0.01,0.035,0.0096713,0.030800000000000004
327,0.46,0.46,0.03,0.03,0.0,0.03,0.015,0.03,0.01450695,0.0264
328,0.52,0.52,0.02,0.03,0.01,0.03,0.015,0.03,0.01450695,0.0264
329,0.58,0.58,0.02,0.03,0.01,0.04,0.015,0.035,0.01450695,0.030800000000000004
330,0.66,0.66,0.02,0.03,0.01,0.04,0.015,0.035,0.01450695,0.030800000000000004
331,0.72,0.72,0.01,0.03,0.01,0.04,0.01,0.035,0.0096713,0.030800000000000004
332,0.78,0.78,0.01,0.04,0.01,0.03,0.01,0.035,0.0096713,0.030800000000000004
333,0.86,0.86,0.0,0.04,0.02,0.02,0.01,0.03,0.0096713,0.0264
334,0.92,0.92,0.01,0.04,0.02,0.03,0.015,0.035,0.01450695,0.030800000000000004
335,0.98,0.98,0.01,0.05,0.03,0.02,0.02,0.035,0.0193426,0.030800000000000004
336,1.06,1.06,0.02,0.05,0.04,0.02,0.03,0.035,0.0290139,0.030800000000000004
337,1.12,1.12,0.02,0.05,0.05,0.02,0.035,0.035,0.033849550000000006,0.030800000000000004
338,1.18,1.18,0.04,0.06,0.06,0.01,0.05,0.034999999999999996,0.048356500000000004,0.030799999999999998
339,1.26,1.26,0.05,0.06,0.08,0.01,0.065,0.034999999999999996,0.06286345,0.030799999999999998
340,1.32,1.32,0.08,0.08,0.12,0.02,0.1,0.05,0.09671300000000001,0.044000000000000004
341,1.38,1.38,0.12,0.09,0.16,0.03,0.14,0.06,0.13539820000000002,0.0528
342,1.46,1.46,0.17,0.12,0.21,0.06,0.19,0.09,0.18375470000000002,0.07919999999999999
343,1.52,1.52,0.24,0.16,0.3,0.09,0.27,0.125,0.26112510000000005,0.11
344,1.58,1.58,0.36,0.21,0.41,0.15,0.385,0.18,0.37234505,0.15839999999999999
345,1.66,1.66,0.5,0.27,0.56,0.22,0.53,0.245,0.5125789000000001,0.21559999999999999
346,1.72,1.72,0.68,0.37,0.81,0.34,0.7450000000000001,0.355,0.7205118500000002,0.3124
347,1.78,1.78,0.95,0.49,1.08,0.45,1.0150000000000001,0.47,0.9816369500000002,0.41359999999999997
348,1.86,1.86,1.28,0.65,1.4,0.6,1.3399999999999999,0.625,1.2959542,0.55
349,1.92,1.92,1.66,0.87,1.93,0.87,1.795,0.87,1.73599835,0.7656
350,1.98,1.98,2.29,1.16,2.53,1.17,2.41,1.165,2.3307833000000002,1.0252000000000001
351,1.92,1.92,2.89,1.49,3.09,1.44,2.99,1.4649999999999999,2.8917187,1.2892
352,1.86,1.86,3.29,1.54,3.01,1.31,3.15,1.425,3.0464595,1.254
353,1.8,1.8,2.47,1.17,2.32,0.97,2.395,1.0699999999999998,2.3162763500000003,0.9415999999999999
354,1.72,1.72,1.81,0.84,1.63,0.66,1.72,0.75,1.6634636,0.66
355,1.66,1.66,1.25,0.58,1.13,0.42,1.19,0.5,1.1508847,0.44
356,1.6,1.6,0.8,0.39,0.77,0.28,0.785,0.335,0.75919705,0.2948
357,1.52,1.52,0.56,0.28,0.51,0.17,0.535,0.22500000000000003,0.51741455,0.19800000000000004
358,1.46,1.46,0.37,0.2,0.34,0.1,0.355,0.15000000000000002,0.34333115,0.13200000000000003
359,1.4,1.4,0.23,0.15,0.24,0.07,0.235,0.11,0.22727555,0.0968
360,1.32,1.32,0.16,0.11,0.16,0.03,0.16,0.07,0.1547408,0.06160000000000001
361,1.26,1.26,0.1,0.09,0.11,0.0,0.10500000000000001,0.045,0.10154865000000002,0.039599999999999996
362,1.2,1.2,0.05,0.07,0.07,0.02,0.060000000000000005,0.045000000000000005,0.058027800000000004,0.0396
363,1.12,1.12,0.04,0.06,0.05,0.02,0.045,0.04,0.04352085,0.0352
364,1.06,1.06,0.02,0.06,0.04,0.02,0.03,0.04,0.0290139,0.0352
365,1.0,1.0,0.0,0.05,0.03,0.03,0.015,0.04,0.01450695,0.0352
366,0.92,0.92,0.0,0.04,0.02,0.03,0.01,0.035,0.0096713,0.030800000000000004
367,0.86,0.86,0.01,0.04,0.01,0.04,0.01,0.04,0.0096713,0.0352
368,0.8,0.8,0.01,0.04,0.01,0.04,0.01,0.04,0.0096713,0.0352
369,0.72,0.72,0.02,0.04,0.01,0.04,0.015,0.04,0.01450695,0.0352
370,0.66,0.66,0.02,0.04,0.0,0.03,0.01,0.035,0.0096713,0.030800000000000004
371,0.6,0.6,0.02,0.04,0.0,0.03,0.01,0.035,0.0096713,0.030800000000000004
372,0.52,0.52,0.03,0.04,0.0,0.04,0.015,0.04,0.01450695,0.0352
373,0.46,0.46,0.02,0.04,0.0,0.04,0.01,0.04,0.0096713,0.0352
374,0.4,0.4,0.03,0.04,0.0,0.05,0.015,0.045,0.01450695,0.039599999999999996
375,0.32,0.32,0.02,0.03,0.0,0.03,0.01,0.03,0.0096713,0.0264
376,0.26,0.26,0.03,0.04,0.0,0.04,0.015,0.04,0.01450695,0.0352
377,0.2,0.2,0.03,0.04,0.0,0.03,0.015,0.035,0.01450695,0.030800000000000004
378,0.12,0.12,0.03,0.03,0.0,0.04,0.015,0.035,0.01450695,0.030800000000000004
379,0.06,0.06,0.03,0.03,0.0,0.04,0.015,0.035,0.01450695,0.030800000000000004
380,0.0,0.0,0.03,0.03,0.0,0.03,0.015,0.03,0.01450695,0.0264
