frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correlation_force_0_2,correlation_force_1_3
65,1.4,1.4,0.97,0.39,0.86,0.29,0.915,0.33999999999999997,0.8849239500000001,0.29919999999999997
66,1.3,1.3,0.53,0.21,0.46,0.13,0.495,0.16999999999999998,0.47872935,0.14959999999999998
67,1.2,1.2,0.27,0.1,0.26,0.04,0.265,0.07,0.25628945000000003,0.06160000000000001
69,1.1,1.1,5.79,0.02,0.08,0.01,2.935,0.015,2.83852655,0.0132
70,1.0,1.0,0.0,0.0,0.03,0.03,0.015,0.015,0.01450695,0.0132
71,0.9,0.9,0.01,0.0,0.02,0.04,0.015,0.02,0.01450695,0.0176
72,0.8,0.8,0.02,0.01,0.01,0.04,0.015,0.025,0.01450695,0.022000000000000002
73,0.7,0.7,0.02,0.01,0.01,0.04,0.015,0.025,0.01450695,0.022000000000000002
74,0.6,0.6,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
75,0.5,0.5,0.04,0.02,0.0,0.06,0.02,0.04,0.0193426,0.0352
76,0.4,0.4,0.04,0.02,0.0,0.05,0.02,0.035,0.0193426,0.030800000000000004
77,0.3,0.3,0.05,0.02,0.0,0.04,0.025,0.03,0.024178250000000002,0.0264
78,0.2,0.2,0.04,0.02,0.0,0.05,0.02,0.035,0.0193426,0.030800000000000004
79,0.1,0.1,0.04,0.02,0.01,0.05,0.025,0.035,0.024178250000000002,0.030800000000000004
80,0.0,0.0,0.05,0.02,0.01,0.04,0.030000000000000002,0.03,0.029013900000000002,0.0264
81,0.1,0.1,0.04,0.02,0.01,0.05,0.025,0.035,0.024178250000000002,0.030800000000000004
82,0.2,0.2,0.05,0.02,0.01,0.05,0.030000000000000002,0.035,0.029013900000000002,0.030800000000000004
83,0.3,0.3,0.04,0.02,1.88,0.05,0.96,0.035,0.9284448,0.030800000000000004
84,0.4,0.4,0.04,0.02,0.0,0.04,0.02,0.03,0.0193426,0.0264
85,0.5,0.5,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
86,0.6,0.6,0.03,0.02,0.0,0.05,0.015,0.035,0.01450695,0.030800000000000004
87,0.7,0.7,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
88,0.8,0.8,0.02,0.01,0.01,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
89,0.9,0.9,0.02,0.01,0.01,0.04,0.015,0.025,0.01450695,0.022000000000000002
90,1.0,1.0,0.01,0.0,0.02,0.04,0.015,0.02,0.01450695,0.0176
91,1.1,1.1,0.01,0.0,0.04,0.04,0.025,0.02,0.024178250000000002,0.0176
92,1.2,1.2,0.03,0.01,0.06,0.02,0.045,0.015,0.04352085,0.0132
93,1.3,1.3,0.06,0.03,0.1,0.01,0.08,0.02,0.0773704,0.0176
94,1.4,1.4,0.11,0.05,0.16,0.02,0.135,0.035,0.13056255000000003,0.030800000000000004
95,1.5,1.5,0.2,0.09,0.26,0.06,0.23,0.075,0.22243990000000002,0.066
96,1.6,1.6,0.35,0.15,0.44,0.14,0.395,0.14500000000000002,0.38201635000000006,0.12760000000000002
97,1.7,1.7,0.59,0.27,0.73,0.28,0.6599999999999999,0.275,0.6383057999999999,0.24200000000000002
98,1.8,1.8,0.9,0.41,1.05,0.42,0.9750000000000001,0.415,0.9429517500000001,0.36519999999999997
99,1.9,1.9,1.43,0.67,1.68,0.71,1.555,0.69,1.50388715,0.6072
100,2.0,2.0,2.19,1.06,2.56,1.15,2.375,1.105,2.29693375,0.9724
101,1.9,1.9,3.15,1.55,3.58,1.65,3.365,1.6,3.2543924500000005,1.4080000000000001
102,1.8,1.8,3.83,1.7,3.4,1.39,3.615,1.545,3.4961749500000003,1.3596
103,1.7,1.7,2.47,1.01,2.12,0.79,2.295,0.9,2.21956335,0.792
104,1.6,1.6,1.44,0.6,1.26,0.44,1.35,0.52,1.3056255,0.4576
105,1.5,1.5,0.82,0.33,0.73,0.24,0.7749999999999999,0.28500000000000003,0.74952575,0.2508
106,1.4,1.4,0.44,0.18,0.41,0.12,0.425,0.15,0.41103025,0.132
107,1.3,1.3,0.22,0.09,0.21,0.03,0.215,0.06,0.20793295,0.0528
108,1.2,1.2,0.11,0.05,0.12,0.0,0.11499999999999999,0.025,0.11121995,0.022000000000000002
109,1.1,1.1,0.04,0.02,0.07,0.02,0.05500000000000001,0.02,0.05319215000000001,0.0176
110,1.0,1.0,0.01,0.01,0.04,0.04,0.025,0.025,0.024178250000000002,0.022000000000000002
111,0.9,0.9,0.0,0.0,0.02,0.04,0.01,0.02,0.0096713,0.0176
112,0.8,0.8,0.03,0.0,0.01,0.05,0.02,0.025,0.0193426,0.022000000000000002
113,0.7,0.7,0.03,0.01,0.0,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
114,0.6,0.6,0.03,0.01,0.0,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
115,0.5,0.5,0.04,0.01,0.0,0.06,0.02,0.034999999999999996,0.0193426,0.030799999999999998
116,0.4,0.4,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
117,0.3,0.3,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
118,0.2,0.2,0.04,0.01,0.0,0.06,0.02,0.034999999999999996,0.0193426,0.030799999999999998
119,0.1,0.1,0.04,0.01,0.01,0.05,0.025,0.030000000000000002,0.024178250000000002,0.026400000000000003
120,0.0,0.0,0.05,0.02,0.01,0.05,0.030000000000000002,0.035,0.029013900000000002,0.030800000000000004
121,0.1,0.1,0.04,0.02,0.01,0.05,0.025,0.035,0.024178250000000002,0.030800000000000004
122,0.2,0.2,0.05,0.02,0.01,0.05,0.030000000000000002,0.035,0.029013900000000002,0.030800000000000004
123,0.3,0.3,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
124,0.4,0.4,0.04,0.01,0.0,0.04,0.02,0.025,0.0193426,0.022000000000000002
125,0.5,0.5,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
126,0.6,0.6,0.03,0.01,0.0,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
127,0.7,0.7,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
128,0.8,0.8,0.02,0.01,0.01,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
129,0.9,0.9,0.02,0.0,0.01,0.04,0.015,0.02,0.01450695,0.0176
130,1.0,1.0,0.02,0.0,0.02,0.04,0.02,0.02,0.0193426,0.0176
131,1.1,1.1,0.01,0.01,0.04,0.04,0.025,0.025,0.024178250000000002,0.022000000000000002
132,1.2,1.2,0.02,0.01,0.06,0.02,0.04,0.015,0.0386852,0.0132
133,1.3,1.3,0.04,0.02,0.08,0.01,0.06,0.015,0.0580278,0.0132
134,1.4,1.4,0.09,0.05,0.14,0.01,0.115,0.030000000000000002,0.11121995000000001,0.026400000000000003
135,1.5,1.5,0.17,0.08,0.23,0.05,0.2,0.065,0.19342600000000001,0.0572
136,1.6,1.6,0.3,0.14,0.38,0.11,0.33999999999999997,0.125,0.3288242,0.11
137,1.7,1.7,0.51,0.24,0.63,0.24,0.5700000000000001,0.24,0.5512641,0.2112
138,1.8,1.8,0.8,0.38,0.96,0.38,0.88,0.38,0.8510744,0.33440000000000003
139,1.9,1.9,1.28,0.62,1.54,0.66,1.4100000000000001,0.64,1.3636533000000002,0.5632
140,2.0,2.0,1.99,0.95,2.21,1.01,2.1,0.98,2.0309730000000004,0.8623999999999999
141,1.9,1.9,2.91,1.47,3.29,1.59,3.1,1.53,2.9981030000000004,1.3464
142,1.8,1.8,3.6,1.59,3.1,1.29,3.35,1.44,3.2398855,1.2671999999999999
143,1.7,1.7,2.18,0.95,2.01,0.76,2.0949999999999998,0.855,2.02613735,0.7524
144,1.6,1.6,1.33,0.55,1.17,0.41,1.25,0.48,1.2089125,0.4224
145,1.5,1.5,0.74,0.3,0.64,0.19,0.69,0.245,0.6673197,0.21559999999999999
146,1.4,1.4,0.39,0.17,0.35,0.1,0.37,0.135,0.3578381,0.1188
147,1.3,1.3,0.2,0.09,0.2,0.02,0.2,0.055,0.19342600000000001,0.0484
148,1.2,1.2,0.1,0.05,0.1,0.01,0.1,0.030000000000000002,0.09671300000000001,0.026400000000000003
149,1.1,1.1,0.04,0.03,0.06,0.02,0.05,0.025,0.048356500000000004,0.022000000000000002
150,1.0,1.0,0.01,0.01,0.03,0.04,0.02,0.025,0.0193426,0.022000000000000002
151,0.9,0.9,0.0,0.01,0.02,0.04,0.01,0.025,0.0096713,0.022000000000000002
152,0.8,0.8,0.02,0.0,0.01,0.04,0.015,0.02,0.01450695,0.0176
153,0.7,0.7,0.03,0.0,0.0,0.05,0.015,0.025,0.01450695,0.022000000000000002
154,0.6,0.6,0.03,0.0,0.0,0.04,0.015,0.02,0.01450695,0.0176
155,0.5,0.5,0.04,0.0,0.0,0.06,0.02,0.03,0.0193426,0.0264
156,0.4,0.4,0.03,0.0,0.0,0.05,0.015,0.025,0.01450695,0.022000000000000002
157,0.3,0.3,0.04,0.0,0.0,0.04,0.02,0.02,0.0193426,0.0176
158,0.2,0.2,0.04,0.0,0.01,0.06,0.025,0.03,0.024178250000000002,0.0264
159,0.1,0.1,0.04,0.01,0.01,14.71,0.025,7.36,0.024178250000000002,6.4768
160,0.0,0.0,0.05,0.01,0.01,0.05,0.030000000000000002,0.030000000000000002,0.029013900000000002,0.026400000000000003
161,0.1,0.1,0.04,0.01,0.01,0.05,0.025,0.030000000000000002,0.024178250000000002,0.026400000000000003
162,0.2,0.2,0.05,0.01,0.01,0.05,0.030000000000000002,0.030000000000000002,0.029013900000000002,0.026400000000000003
163,0.3,0.3,0.03,0.01,0.0,0.06,0.015,0.034999999999999996,0.01450695,0.030799999999999998
164,0.4,0.4,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
165,0.5,0.5,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
166,0.6,0.6,0.03,0.0,0.0,0.05,0.015,0.025,0.01450695,0.022000000000000002
167,0.7,0.7,0.03,0.0,0.0,0.04,0.015,0.02,0.01450695,0.0176
168,0.8,0.8,0.02,0.0,0.01,0.05,0.015,0.025,0.01450695,0.022000000000000002
169,0.9,0.9,0.02,0.0,0.01,0.03,0.015,0.015,0.01450695,0.0132
170,1.0,1.0,0.01,0.01,0.02,0.04,0.015,0.025,0.01450695,0.022000000000000002
171,1.1,1.1,0.01,0.01,0.03,0.04,0.02,0.025,0.0193426,0.022000000000000002
172,1.2,1.2,0.02,0.02,0.05,0.02,0.035,0.02,0.033849550000000006,0.0176
173,1.3,1.3,0.04,0.03,0.08,0.01,0.06,0.02,0.0580278,0.0176
174,1.4,1.4,0.09,0.05,0.13,0.01,0.11,0.030000000000000002,0.1063843,0.026400000000000003
175,1.5,1.5,0.16,0.08,0.21,0.05,0.185,0.065,0.17891905,0.0572
176,1.6,1.6,0.29,0.15,0.36,0.11,0.32499999999999996,0.13,0.31431725,0.1144
177,1.7,1.7,0.46,0.22,0.56,0.21,0.51,0.215,0.4932363,0.1892
178,1.8,1.8,0.76,0.37,0.94,0.39,0.85,0.38,0.8220605,0.33440000000000003
179,1.9,1.9,1.22,0.61,1.45,0.61,1.335,0.61,1.29111855,0.5367999999999999
180,2.0,2.0,1.23,1.1,2.54,1.17,1.885,1.135,1.8230400500000001,0.9988
181,1.9,1.9,2.79,1.45,3.25,1.57,3.02,1.51,2.9207326,1.3288
182,1.8,1.8,3.44,1.58,3.12,1.26,3.2800000000000002,1.42,3.1721864,1.2496
183,1.7,1.7,2.18,0.94,1.92,0.75,2.05,0.845,1.9826165,0.7435999999999999
184,1.6,1.6,1.24,0.52,1.05,0.39,1.145,0.455,1.10736385,0.40040000000000003
185,1.5,1.5,0.69,0.3,0.6,0.19,0.645,0.245,0.62379885,0.21559999999999999
186,1.4,1.4,0.36,0.16,0.33,0.09,0.345,0.125,0.33365985,0.11
187,1.3,1.3,0.18,0.09,0.17,0.03,0.175,0.06,0.16924775,0.0528
188,1.2,1.2,0.1,0.05,0.1,0.0,0.1,0.025,0.09671300000000001,0.022000000000000002
189,1.1,1.1,0.03,0.03,0.06,0.02,0.045,0.025,0.04352085,0.022000000000000002
190,1.0,1.0,0.01,0.02,0.03,0.04,0.02,0.03,0.0193426,0.0264
191,0.9,0.9,0.01,0.01,0.01,0.04,0.01,0.025,0.0096713,0.022000000000000002
192,0.8,0.8,0.02,0.01,0.01,0.04,0.015,0.025,0.01450695,0.022000000000000002
193,0.7,0.7,0.02,0.01,0.0,0.04,0.01,0.025,0.0096713,0.022000000000000002
194,0.6,0.6,0.03,0.0,0.0,0.04,0.015,0.02,0.01450695,0.0176
195,0.5,0.5,0.03,0.0,0.0,0.05,0.015,0.025,0.01450695,0.022000000000000002
196,0.4,0.4,0.03,0.0,0.0,0.04,0.015,0.02,0.01450695,0.0176
197,0.3,0.3,0.04,0.0,0.0,0.04,0.02,0.02,0.0193426,0.0176
198,0.2,0.2,0.04,0.0,0.0,0.05,0.02,0.025,0.0193426,0.022000000000000002
199,0.1,0.1,0.04,0.0,0.0,0.05,0.02,0.025,0.0193426,0.022000000000000002
200,0.0,0.0,0.04,0.0,0.01,0.05,0.025,0.025,0.024178250000000002,0.022000000000000002
201,0.04,0.04,0.04,0.0,0.01,0.05,0.025,0.025,0.024178250000000002,0.022000000000000002
202,0.1,0.1,0.04,0.0,0.01,0.05,0.025,0.025,0.024178250000000002,0.022000000000000002
203,0.14,0.14,0.04,0.0,0.0,0.05,0.02,0.025,0.0193426,0.022000000000000002
